Descrição,Esp. (mm),Dens. Sup. (kg/m2),63,125,250,500,1000,2000,4000,8000
"Porta de madeira maciça (Esp. 66 mm) (Bistafa, 2018)",66,44,,24,26,33,38,31,46,
"Laje de concreto (Esp. 100 mm) (Bistafa, 2018)",100,230,32,37,36,45,52,59,62,63
"Laje de concreto (Esp. 200 mm) (Bistafa, 2018)",200,460,36,42,41,50,57,60,65,70
"Laje de concreto (Esp. 300 mm) (Bistafa, 2018)",300,690,37,40,45,52,59,63,67,72
"Parede em Drywall com montante 70 mm, sem preenchimento e faces simples (16 mm) (National Research Council Canada)",97,,16,"11,2","29,4","42,8","54,5","37,1","45,5",
"Parede em Drywall com montante 70 mm, preenchimento em lã de vidro e faces simples (12.5 mm) (National Research Council Canada; Riverbank Acoustical Laboratories)",95,,14,21,39,54,62,59,48,
"Parede em Drywall com montante 70 mm, preenchimento em lã de vidro com uma face dupla (25 mm) e uma face simples (12.5 mm) (National Research Council Canada; Riverbank Acoustical Laboratories)","107,5",,15,27,44,58,65,63,54,
"Parede em Drywall com montante 70 mm, preenchimento em lã de vidro com duas faces duplas (25 mm) (National Research Council Canada; Riverbank Acoustical Laboratories)",120,,"16,2","30,3","45,8","59,4","66,8","66,8","58,8",
"Parede em Drywall com dois montantes 70 mm, preenchimento em lã de vidro e faces simples (12.5 mm) (National Research Council Canada; Riverbank Acoustical Laboratories)",165,,"13,3",30,45,57,69,74,61,
"Parede em Drywall com dois montantes 70 mm, preenchimento em lã de vidro, sendo uma face simples (12.5 mm) e uma dupla (25 mm) (National Research Council Canada)",184,,"18,8","35,8","49,6","59,9","70,8","76,2","66,6",
"Parede em Drywall com dois montantes 70 mm, preenchimento em lã de vidro e faces duplas (25 mm) (National Research Council Canada)",198,,"22,6","39,9","52,4","60,7","71,4",78,"70,9",
"DIVISÓRIA LINE CLEAN VIDRO DUPLO
JUNTA SECA, VIDROS 8mm Laminado + 10mm Laminado",45,,,"23,3","29,9","37,2","43,6","44,9","57,1",
